date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:04:53	156517/156517	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2006:29:57%20GMT	https://www.buzzinteractive.co/	C:/My%20Web%20Sites/https___www.buzzinteractive.co_/www.buzzinteractive.co/index.html	(from )
16:04:54	77/77	---MCZ	200	added ('OK')	text/plain	date:Thu,%2014%20Feb%202019%2012:11:23%20GMT	https://www.buzzinteractive.co/robots.txt		(from )
16:04:54	216/216	---M--	200	added ('OK')	image/png	date:Thu,%2023%20Aug%202018%2002:37:34%20GMT	https://www.buzzinteractive.co/wp-content/uploads/2017/05/buzz-favicon.png	C:/My%20Web%20Sites/https___www.buzzinteractive.co_/www.buzzinteractive.co/wp-content/uploads/2017/05/buzz-favicon.png	(from https://www.buzzinteractive.co/)
16:04:57	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sun,%2024%20Jan%202021%2011:04:57%20GMT	https://www.buzzinteractive.co/xmlrpc.php	C:/My%20Web%20Sites/https___www.buzzinteractive.co_/www.buzzinteractive.co/xmlrpc.php	(from https://www.buzzinteractive.co/)
16:04:59	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2024%20Jan%202021%2011:04:58%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/https___www.buzzinteractive.co_/www.googletagmanager.com/gtm.25445.delayed	(from https://www.buzzinteractive.co/)
16:05:00	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Jan%202021%2011:04:59%20GMT	http://www.buzzinteractive.co/wp-content/cache/wpfc-minified/dry8x01w/5wn30.css	C:/My%20Web%20Sites/https___www.buzzinteractive.co_/www.buzzinteractive.co/wp-content/cache/wpfc-minified/dry8x01w/5wn30.3.delayed	(from https://www.buzzinteractive.co/)
16:05:01	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Jan%202021%2011:05:01%20GMT	http://www.buzzinteractive.co/wp-content/cache/wpfc-minified/hbfqu89/5wn30.css	C:/My%20Web%20Sites/https___www.buzzinteractive.co_/www.buzzinteractive.co/wp-content/cache/wpfc-minified/hbfqu89/5wn30.css	(from https://www.buzzinteractive.co/)
16:05:01	82316/82316	---MCZ	200	added ('OK')	text/css	date:Fri,%2022%20Jan%202021%2012:58:18%20GMT	https://www.buzzinteractive.co/wp-content/cache/wpfc-minified/dry8x01w/5wn30.css	C:/My%20Web%20Sites/https___www.buzzinteractive.co_/www.buzzinteractive.co/wp-content/cache/wpfc-minified/dry8x01w/5wn30.css	(from https://www.buzzinteractive.co/)
16:05:01	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Jan%202021%2011:05:01%20GMT	http://www.buzzinteractive.co/wp-content/cache/wpfc-minified/f1n4xekp/5wn2z.css	C:/My%20Web%20Sites/https___www.buzzinteractive.co_/www.buzzinteractive.co/wp-content/cache/wpfc-minified/f1n4xekp/5wn2z.7.delayed	(from https://www.buzzinteractive.co/)
16:05:05	180632/180632	---MCZ	200	added ('OK')	text/css	date:Fri,%2022%20Jan%202021%2012:58:17%20GMT	https://www.buzzinteractive.co/wp-content/cache/wpfc-minified/f1n4xekp/5wn2z.css	C:/My%20Web%20Sites/https___www.buzzinteractive.co_/www.buzzinteractive.co/wp-content/cache/wpfc-minified/f1n4xekp/5wn2z.css	(from https://www.buzzinteractive.co/)
16:05:05	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Jan%202021%2011:05:05%20GMT	http://www.buzzinteractive.co/wp-content/cache/wpfc-minified/lks2wlg9/5wn2z.css	C:/My%20Web%20Sites/https___www.buzzinteractive.co_/www.buzzinteractive.co/wp-content/cache/wpfc-minified/lks2wlg9/5wn2z.9.delayed	(from https://www.buzzinteractive.co/)
16:05:05	904267/904267	---MCZ	200	added ('OK')	text/css	date:Fri,%2022%20Jan%202021%2012:58:18%20GMT	https://www.buzzinteractive.co/wp-content/cache/wpfc-minified/hbfqu89/5wn30.css	C:/My%20Web%20Sites/https___www.buzzinteractive.co_/www.buzzinteractive.co/wp-content/cache/wpfc-minified/hbfqu89/5wn30.css	(from https://www.buzzinteractive.co/)
16:05:06	745/745	---M-Z	200	added ('OK')	text/xml	date:Sun,%2024%20Jan%202021%2011:05:03%20GMT	https://www.buzzinteractive.co/comments/feed/	C:/My%20Web%20Sites/https___www.buzzinteractive.co_/www.buzzinteractive.co/comments/feed/index.html	(from https://www.buzzinteractive.co/)
16:05:10	846/846	---M-Z	200	added ('OK')	text/xml	date:Sun,%2024%20Jan%202021%2011:05:10%20GMT	https://www.buzzinteractive.co/xmlrpc.php?rsd	C:/My%20Web%20Sites/https___www.buzzinteractive.co_/www.buzzinteractive.co/xmlrpc0db0.php	(from https://www.buzzinteractive.co/)
16:05:10	77775/77775	---MCZ	200	added ('OK')	application/json	date:Sun,%2024%20Jan%202021%2011:05:09%20GMT	https://www.buzzinteractive.co/wp-json/	C:/My%20Web%20Sites/https___www.buzzinteractive.co_/www.buzzinteractive.co/wp-json/index.html	(from https://www.buzzinteractive.co/)
16:05:14	1045/1045	---M-Z	200	added ('OK')	application/xml	date:Wed,%2017%20May%202017%2011:41:55%20GMT	https://www.buzzinteractive.co/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/https___www.buzzinteractive.co_/www.buzzinteractive.co/wp-includes/wlwmanifest.xml	(from https://www.buzzinteractive.co/)
16:05:15	883/883	---M--	200	added ('OK')	image/png	date:Thu,%2010%20Oct%202019%2013:40:21%20GMT	https://static2.buzzinteractive.co/wp-content/uploads/2019/10/buzz-interactive-logo.png	C:/My%20Web%20Sites/https___www.buzzinteractive.co_/static2.buzzinteractive.co/wp-content/uploads/2019/10/buzz-interactive-logo.png	(from https://www.buzzinteractive.co/)
16:05:17	42/42	---M--	200	added ('OK')	image/gif	etag:%222a-59fb6a401d100%22	http://wpfc.ml/b.gif	C:/My%20Web%20Sites/https___www.buzzinteractive.co_/wpfc.ml/b.gif	(from https://www.buzzinteractive.co/)
16:05:17	12310/12310	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260085bdc-3016%22	https://ajax.cloudflare.com/cdn-cgi/scripts/7089c43e/cloudflare-static/rocket-loader.min.js	C:/My%20Web%20Sites/https___www.buzzinteractive.co_/ajax.cloudflare.com/cdn-cgi/scripts/7089c43e/cloudflare-static/rocket-loader.min.js	(from https://www.buzzinteractive.co/)
16:05:17	237390/237390	---MCZ	200	added ('OK')	text/xml	date:Sun,%2024%20Jan%202021%2011:05:03%20GMT	https://www.buzzinteractive.co/feed/	C:/My%20Web%20Sites/https___www.buzzinteractive.co_/www.buzzinteractive.co/feed/index.html	(from https://www.buzzinteractive.co/)
16:05:17	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Jan%202021%2011:05:17%20GMT	http://www.buzzinteractive.co/wp-content/plugins/revslider/public/assets/assets/dummy.png	C:/My%20Web%20Sites/https___www.buzzinteractive.co_/www.buzzinteractive.co/wp-content/plugins/revslider/public/assets/assets/dummy.10.delayed	(from https://www.buzzinteractive.co/)
16:05:19	102852/102852	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jan%202021%2011:05:17%20GMT	https://www.buzzinteractive.co/contact/	C:/My%20Web%20Sites/https___www.buzzinteractive.co_/www.buzzinteractive.co/contact/index.html	(from https://www.buzzinteractive.co/)
16:05:20	68/68	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Sep%202020%2010:03:41%20GMT	https://www.buzzinteractive.co/wp-content/plugins/revslider/public/assets/assets/dummy.png	C:/My%20Web%20Sites/https___www.buzzinteractive.co_/www.buzzinteractive.co/wp-content/plugins/revslider/public/assets/assets/dummy.png	(from https://www.buzzinteractive.co/)
16:05:21	573051/573051	---MCZ	200	added ('OK')	text/css	date:Fri,%2022%20Jan%202021%2012:58:17%20GMT	https://www.buzzinteractive.co/wp-content/cache/wpfc-minified/lks2wlg9/5wn2z.css	C:/My%20Web%20Sites/https___www.buzzinteractive.co_/www.buzzinteractive.co/wp-content/cache/wpfc-minified/lks2wlg9/5wn2z.css	(from https://www.buzzinteractive.co/)
16:05:22	118156/118156	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2006:40:39%20GMT	https://www.buzzinteractive.co/about-us/	C:/My%20Web%20Sites/https___www.buzzinteractive.co_/www.buzzinteractive.co/about-us/index.html	(from https://www.buzzinteractive.co/)
16:05:22	218814/218814	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2010:38:43%20GMT	https://www.buzzinteractive.co/software-development-services/	C:/My%20Web%20Sites/https___www.buzzinteractive.co_/www.buzzinteractive.co/software-development-services/index.html	(from https://www.buzzinteractive.co/)
16:05:22	131035/131035	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2008:39:50%20GMT	https://www.buzzinteractive.co/web-development-services/	C:/My%20Web%20Sites/https___www.buzzinteractive.co_/www.buzzinteractive.co/web-development-services/index.html	(from https://www.buzzinteractive.co/)
16:05:24	175409/175409	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2007:03:03%20GMT	https://www.buzzinteractive.co/ecommerce-website-development/	C:/My%20Web%20Sites/https___www.buzzinteractive.co_/www.buzzinteractive.co/ecommerce-website-development/index.html	(from https://www.buzzinteractive.co/)
16:05:25	169719/169719	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Jan%202021%2009:30:33%20GMT	https://www.buzzinteractive.co/mobile-app-development-services/	C:/My%20Web%20Sites/https___www.buzzinteractive.co_/www.buzzinteractive.co/mobile-app-development-services/index.html	(from https://www.buzzinteractive.co/)
16:05:25	125751/125751	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jan%202021%2011:05:25%20GMT	https://www.buzzinteractive.co/design-services/	C:/My%20Web%20Sites/https___www.buzzinteractive.co_/www.buzzinteractive.co/design-services/index.html	(from https://www.buzzinteractive.co/)
16:05:25	101068/101068	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jan%202021%2011:05:18%20GMT	https://www.buzzinteractive.co/case-studies/	C:/My%20Web%20Sites/https___www.buzzinteractive.co_/www.buzzinteractive.co/case-studies/index.html	(from https://www.buzzinteractive.co/)
16:05:26	169692/169692	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jan%202021%2011:05:25%20GMT	https://www.buzzinteractive.co/ui-ux-design-services/	C:/My%20Web%20Sites/https___www.buzzinteractive.co_/www.buzzinteractive.co/ui-ux-design-services/index.html	(from https://www.buzzinteractive.co/)
